driver_name,driver_number,team_name,session_1_type,circuit_name,circuit_key,event_name,session_1_avg_lap_time,session_1_starting_air_temp,session_1_starting_humidity,session_1_starting_pressure,session_1_starting_rainfall,session_1_starting_track_temp,session_1_starting_wind_direction,session_1_starting_wind_speed,session_1_ending_air_temp,session_1_ending_humidity,session_1_ending_pressure,session_1_ending_rainfall,session_1_ending_track_temp,session_1_ending_wind_direction,session_1_ending_wind_speed,session_2_type,session_2_avg_lap_time,session_2_starting_air_temp,session_2_starting_humidity,session_2_starting_pressure,session_2_starting_rainfall,session_2_starting_track_temp,session_2_starting_wind_direction,session_2_starting_wind_speed,session_2_ending_air_temp,session_2_ending_humidity,session_2_ending_pressure,session_2_ending_rainfall,session_2_ending_track_temp,session_2_ending_wind_direction,session_2_ending_wind_speed,session_3_type,session_3_avg_lap_time,session_3_starting_air_temp,session_3_starting_humidity,session_3_starting_pressure,session_3_starting_rainfall,session_3_starting_track_temp,session_3_starting_wind_direction,session_3_starting_wind_speed,session_3_ending_air_temp,session_3_ending_humidity,session_3_ending_pressure,session_3_ending_rainfall,session_3_ending_track_temp,session_3_ending_wind_direction,session_3_ending_wind_speed,session_4_type,session_4_final_position,session_4_q1_best_lap,session_4_q2_best_lap,session_4_q3_best_lap,session_4_gap_to_fastest,session_4_starting_air_temp,session_4_starting_humidity,session_4_starting_pressure,session_4_starting_rainfall,session_4_starting_track_temp,session_4_starting_wind_direction,session_4_starting_wind_speed,session_4_ending_air_temp,session_4_ending_humidity,session_4_ending_pressure,session_4_ending_rainfall,session_4_ending_track_temp,session_4_ending_wind_direction,session_4_ending_wind_speed,session_5_type,session_5_final_position,session_5_avg_lap_time,session_5_starting_air_temp,session_5_starting_humidity,session_5_starting_pressure,session_5_starting_rainfall,session_5_starting_track_temp,session_5_starting_wind_direction,session_5_starting_wind_speed,session_5_ending_air_temp,session_5_ending_humidity,session_5_ending_pressure,session_5_ending_rainfall,session_5_ending_track_temp,session_5_ending_wind_direction,session_5_ending_wind_speed,year
N HULKENBERG,27,Renault,Practice,Shanghai,49,Chinese Grand Prix,109.17323076923076,18.9,40.0,1016.0,False,19.8,72,3.0,19.0,51.5,1014.8,False,20.5,102,2.3,Practice,104.15296296296296,18.1,72.0,1012.0,False,20.8,266,1.2,17.1,81.1,1010.4,True,19.0,79,2.0,Practice,107.57346153846152,12.8,82.4,1013.6,False,14.9,153,2.4,12.5,80.1,1014.0,False,15.3,152,2.3,Qualifying,7.0,93.545,92.494,92.532,1.4369999999999976,12.5,78.5,1014.9,False,15.8,201,1.7,12.7,76.2,1015.1,False,15.3,127,1.6,Race,6.0,101.9296181818182,19.0,21.2,1018.3,False,39.0,104,1.8,19.1,26.8,1018.1,True,28.3,84,0.8,2018
B HARTLEY,28,Toro Rosso,Practice,Shanghai,49,Chinese Grand Prix,105.80530000000002,18.9,40.0,1016.0,False,19.8,72,3.0,19.0,51.5,1014.8,False,20.5,102,2.3,Practice,103.63475757575758,18.1,72.0,1012.0,False,20.8,266,1.2,17.1,81.1,1010.4,True,19.0,79,2.0,Practice,107.9113125,12.8,82.4,1013.6,False,14.9,153,2.4,12.5,80.1,1014.0,False,15.3,152,2.3,Qualifying,15.0,94.013,93.795,,2.700000000000003,12.5,78.5,1014.9,False,15.8,201,1.7,12.7,76.2,1015.1,False,15.3,127,1.6,Race,20.0,102.23510204081632,19.0,21.2,1018.3,False,39.0,104,1.8,19.1,26.8,1018.1,True,28.3,84,0.8,2018
E OCON,31,Force India,Practice,Shanghai,49,Chinese Grand Prix,104.57051851851854,18.9,40.0,1016.0,False,19.8,72,3.0,19.0,51.5,1014.8,False,20.5,102,2.3,Practice,105.4325,18.1,72.0,1012.0,False,20.8,266,1.2,17.1,81.1,1010.4,True,19.0,79,2.0,Practice,110.66164285714284,12.8,82.4,1013.6,False,14.9,153,2.4,12.5,80.1,1014.0,False,15.3,152,2.3,Qualifying,12.0,93.585,93.057,,1.9620000000000033,12.5,78.5,1014.9,False,15.8,201,1.7,12.7,76.2,1015.1,False,15.3,127,1.6,Race,11.0,103.2219642857143,19.0,21.2,1018.3,False,39.0,104,1.8,19.1,26.8,1018.1,True,28.3,84,0.8,2018
M VERSTAPPEN,33,Red Bull Racing,Practice,Shanghai,49,Chinese Grand Prix,106.13038888888887,18.9,40.0,1016.0,False,19.8,72,3.0,19.0,51.5,1014.8,False,20.5,102,2.3,Practice,103.15895454545456,18.1,72.0,1012.0,False,20.8,266,1.2,17.1,81.1,1010.4,True,19.0,79,2.0,Practice,108.80991666666668,12.8,82.4,1013.6,False,14.9,153,2.4,12.5,80.1,1014.0,False,15.3,152,2.3,Qualifying,5.0,92.932,92.809,91.796,0.7010000000000076,12.5,78.5,1014.9,False,15.8,201,1.7,12.7,76.2,1015.1,False,15.3,127,1.6,Race,5.0,100.5494074074074,19.0,21.2,1018.3,False,39.0,104,1.8,19.1,26.8,1018.1,True,28.3,84,0.8,2018
S SIROTKIN,35,Williams,Practice,Shanghai,49,Chinese Grand Prix,106.13392000000002,18.9,40.0,1016.0,False,19.8,72,3.0,19.0,51.5,1014.8,False,20.5,102,2.3,Practice,105.17996428571428,18.1,72.0,1012.0,False,20.8,266,1.2,17.1,81.1,1010.4,True,19.0,79,2.0,Practice,105.6685,12.8,82.4,1013.6,False,14.9,153,2.4,12.5,80.1,1014.0,False,15.3,152,2.3,Qualifying,16.0,94.062,,,2.9669999999999987,12.5,78.5,1014.9,False,15.8,201,1.7,12.7,76.2,1015.1,False,15.3,127,1.6,Race,15.0,103.475375,19.0,21.2,1018.3,False,39.0,104,1.8,19.1,26.8,1018.1,True,28.3,84,0.8,2018
L HAMILTON,44,Mercedes,Practice,Shanghai,49,Chinese Grand Prix,106.6707222222222,18.9,40.0,1016.0,False,19.8,72,3.0,19.0,51.5,1014.8,False,20.5,102,2.3,Practice,105.13691304347827,18.1,72.0,1012.0,False,20.8,266,1.2,17.1,81.1,1010.4,True,19.0,79,2.0,Practice,112.87809090909091,12.8,82.4,1013.6,False,14.9,153,2.4,12.5,80.1,1014.0,False,15.3,152,2.3,Qualifying,4.0,93.283,91.914,91.675,0.5799999999999983,12.5,78.5,1014.9,False,15.8,201,1.7,12.7,76.2,1015.1,False,15.3,127,1.6,Race,4.0,100.73324074074073,19.0,21.2,1018.3,False,39.0,104,1.8,19.1,26.8,1018.1,True,28.3,84,0.8,2018
C SAINZ,55,Renault,Practice,Shanghai,49,Chinese Grand Prix,107.72463157894737,18.9,40.0,1016.0,False,19.8,72,3.0,19.0,51.5,1014.8,False,20.5,102,2.3,Practice,106.84644000000002,18.1,72.0,1012.0,False,20.8,266,1.2,17.1,81.1,1010.4,True,19.0,79,2.0,Practice,109.60376470588234,12.8,82.4,1013.6,False,14.9,153,2.4,12.5,80.1,1014.0,False,15.3,152,2.3,Qualifying,9.0,93.315,92.97,92.819,1.7240000000000038,12.5,78.5,1014.9,False,15.8,201,1.7,12.7,76.2,1015.1,False,15.3,127,1.6,Race,9.0,102.20300000000002,19.0,21.2,1018.3,False,39.0,104,1.8,19.1,26.8,1018.1,True,28.3,84,0.8,2018
V BOTTAS,77,Mercedes,Practice,Shanghai,49,Chinese Grand Prix,103.89355999999998,18.9,40.0,1016.0,False,19.8,72,3.0,19.0,51.5,1014.8,False,20.5,102,2.3,Practice,105.667875,18.1,72.0,1012.0,False,20.8,266,1.2,17.1,81.1,1010.4,True,19.0,79,2.0,Practice,109.63276923076924,12.8,82.4,1013.6,False,14.9,153,2.4,12.5,80.1,1014.0,False,15.3,152,2.3,Qualifying,3.0,92.921,92.063,91.625,0.5300000000000011,12.5,78.5,1014.9,False,15.8,201,1.7,12.7,76.2,1015.1,False,15.3,127,1.6,Race,2.0,100.4470925925926,19.0,21.2,1018.3,False,39.0,104,1.8,19.1,26.8,1018.1,True,28.3,84,0.8,2018
S VANDOORNE,2,McLaren,Practice,Baku,144,Azerbaijan Grand Prix,119.18033333333332,22.4,42.2,1020.2,False,42.1,175,0.3,22.5,41.2,1019.5,False,39.8,245,1.2,Practice,114.03761538461539,19.2,58.5,1019.0,False,31.5,156,0.3,19.4,62.3,1018.1,False,26.9,242,1.2,Practice,118.62233333333332,24.1,41.1,1015.9,False,29.0,352,1.1,23.5,43.2,1015.0,False,28.3,165,1.9,Qualifying,16.0,104.489,,,2.9909999999999997,22.0,47.4,1015.3,False,26.6,198,1.5,23.0,45.8,1015.0,False,26.5,8,1.7,Race,9.0,114.66486046511628,17.2,46.1,1021.7,False,27.1,86,2.1,16.7,43.4,1022.3,False,23.7,7,1.6,2018
D RICCIARDO,3,Red Bull Racing,Practice,Baku,144,Azerbaijan Grand Prix,113.19305263157894,22.4,42.2,1020.2,False,42.1,175,0.3,22.5,41.2,1019.5,False,39.8,245,1.2,Practice,111.63412499999998,19.2,58.5,1019.0,False,31.5,156,0.3,19.4,62.3,1018.1,False,26.9,242,1.2,Practice,112.14746153846153,24.1,41.1,1015.9,False,29.0,352,1.1,23.5,43.2,1015.0,False,28.3,165,1.9,Qualifying,4.0,102.857,103.482,101.911,0.4129999999999967,22.0,47.4,1015.3,False,26.6,198,1.5,23.0,45.8,1015.0,False,26.5,8,1.7,Race,17.0,109.72739999999999,17.2,46.1,1021.7,False,27.1,86,2.1,16.7,43.4,1022.3,False,23.7,7,1.6,2018
S VETTEL,5,Ferrari,Practice,Baku,144,Azerbaijan Grand Prix,120.78542857142858,22.4,42.2,1020.2,False,42.1,175,0.3,22.5,41.2,1019.5,False,39.8,245,1.2,Practice,114.58585294117647,19.2,58.5,1019.0,False,31.5,156,0.3,19.4,62.3,1018.1,False,26.9,242,1.2,Practice,120.08461538461538,24.1,41.1,1015.9,False,29.0,352,1.1,23.5,43.2,1015.0,False,28.3,165,1.9,Qualifying,1.0,102.762,103.015,101.498,0.0,22.0,47.4,1015.3,False,26.6,198,1.5,23.0,45.8,1015.0,False,26.5,8,1.7,Race,4.0,108.9749,17.2,46.1,1021.7,False,27.1,86,2.1,16.7,43.4,1022.3,False,23.7,7,1.6,2018
K RAIKKONEN,7,Ferrari,Practice,Baku,144,Azerbaijan Grand Prix,115.63942857142857,22.4,42.2,1020.2,False,42.1,175,0.3,22.5,41.2,1019.5,False,39.8,245,1.2,Practice,113.29514285714286,19.2,58.5,1019.0,False,31.5,156,0.3,19.4,62.3,1018.1,False,26.9,242,1.2,Practice,115.71076923076923,24.1,41.1,1015.9,False,29.0,352,1.1,23.5,43.2,1015.0,False,28.3,165,1.9,Qualifying,6.0,102.538,102.51,102.49,0.9919999999999902,22.0,47.4,1015.3,False,26.6,198,1.5,23.0,45.8,1015.0,False,26.5,8,1.7,Race,2.0,111.07514634146342,17.2,46.1,1021.7,False,27.1,86,2.1,16.7,43.4,1022.3,False,23.7,7,1.6,2018
R GROSJEAN,8,Haas F1 Team,Practice,Baku,144,Azerbaijan Grand Prix,112.34699999999998,22.4,42.2,1020.2,False,42.1,175,0.3,22.5,41.2,1019.5,False,39.8,245,1.2,Practice,112.88279166666666,19.2,58.5,1019.0,False,31.5,156,0.3,19.4,62.3,1018.1,False,26.9,242,1.2,Practice,117.86566666666666,24.1,41.1,1015.9,False,29.0,352,1.1,23.5,43.2,1015.0,False,28.3,165,1.9,Qualifying,20.0,,,,,22.0,47.4,1015.3,False,26.6,198,1.5,23.0,45.8,1015.0,False,26.5,8,1.7,Race,15.0,111.81013513513513,17.2,46.1,1021.7,False,27.1,86,2.1,16.7,43.4,1022.3,False,23.7,7,1.6,2018
M ERICSSON,9,Sauber,Practice,Baku,144,Azerbaijan Grand Prix,117.91406666666666,22.4,42.2,1020.2,False,42.1,175,0.3,22.5,41.2,1019.5,False,39.8,245,1.2,Practice,117.26916666666666,19.2,58.5,1019.0,False,31.5,156,0.3,19.4,62.3,1018.1,False,26.9,242,1.2,Practice,119.35241666666668,24.1,41.1,1015.9,False,29.0,352,1.1,23.5,43.2,1015.0,False,28.3,165,1.9,Qualifying,18.0,105.541,,,4.042999999999992,22.0,47.4,1015.3,False,26.6,198,1.5,23.0,45.8,1015.0,False,26.5,8,1.7,Race,11.0,118.32676086956522,17.2,46.1,1021.7,False,27.1,86,2.1,16.7,43.4,1022.3,False,23.7,7,1.6,2018
P GASLY,10,Toro Rosso,Practice,Baku,144,Azerbaijan Grand Prix,117.66666666666667,22.4,42.2,1020.2,False,42.1,175,0.3,22.5,41.2,1019.5,False,39.8,245,1.2,Practice,113.42502857142854,19.2,58.5,1019.0,False,31.5,156,0.3,19.4,62.3,1018.1,False,26.9,242,1.2,Practice,115.91608333333333,24.1,41.1,1015.9,False,29.0,352,1.1,23.5,43.2,1015.0,False,28.3,165,1.9,Qualifying,17.0,104.496,,,2.9979999999999905,22.0,47.4,1015.3,False,26.6,198,1.5,23.0,45.8,1015.0,False,26.5,8,1.7,Race,12.0,113.91669047619048,17.2,46.1,1021.7,False,27.1,86,2.1,16.7,43.4,1022.3,False,23.7,7,1.6,2018
S PEREZ,11,Force India,Practice,Baku,144,Azerbaijan Grand Prix,121.99054999999998,22.4,42.2,1020.2,False,42.1,175,0.3,22.5,41.2,1019.5,False,39.8,245,1.2,Practice,115.24528571428573,19.2,58.5,1019.0,False,31.5,156,0.3,19.4,62.3,1018.1,False,26.9,242,1.2,Practice,118.55483333333332,24.1,41.1,1015.9,False,29.0,352,1.1,23.5,43.2,1015.0,False,28.3,165,1.9,Qualifying,8.0,103.992,103.366,102.547,1.0489999999999924,22.0,47.4,1015.3,False,26.6,198,1.5,23.0,45.8,1015.0,False,26.5,8,1.7,Race,3.0,111.08578048780487,17.2,46.1,1021.7,False,27.1,86,2.1,16.7,43.4,1022.3,False,23.7,7,1.6,2018
F ALONSO,14,McLaren,Practice,Baku,144,Azerbaijan Grand Prix,115.17776470588235,22.4,42.2,1020.2,False,42.1,175,0.3,22.5,41.2,1019.5,False,39.8,245,1.2,Practice,114.08973333333333,19.2,58.5,1019.0,False,31.5,156,0.3,19.4,62.3,1018.1,False,26.9,242,1.2,Practice,112.2391111111111,24.1,41.1,1015.9,False,29.0,352,1.1,23.5,43.2,1015.0,False,28.3,165,1.9,Qualifying,13.0,104.01,104.019,,2.521000000000001,22.0,47.4,1015.3,False,26.6,198,1.5,23.0,45.8,1015.0,False,26.5,8,1.7,Race,7.0,112.77453658536587,17.2,46.1,1021.7,False,27.1,86,2.1,16.7,43.4,1022.3,False,23.7,7,1.6,2018
C LECLERC,16,Sauber,Practice,Baku,144,Azerbaijan Grand Prix,117.99337500000001,22.4,42.2,1020.2,False,42.1,175,0.3,22.5,41.2,1019.5,False,39.8,245,1.2,Practice,112.76233333333336,19.2,58.5,1019.0,False,31.5,156,0.3,19.4,62.3,1018.1,False,26.9,242,1.2,Practice,115.7357,24.1,41.1,1015.9,False,29.0,352,1.1,23.5,43.2,1015.0,False,28.3,165,1.9,Qualifying,14.0,103.752,104.074,,2.5759999999999934,22.0,47.4,1015.3,False,26.6,198,1.5,23.0,45.8,1015.0,False,26.5,8,1.7,Race,6.0,111.90134146341464,17.2,46.1,1021.7,False,27.1,86,2.1,16.7,43.4,1022.3,False,23.7,7,1.6,2018
L STROLL,18,Williams,Practice,Baku,144,Azerbaijan Grand Prix,112.43814285714288,22.4,42.2,1020.2,False,42.1,175,0.3,22.5,41.2,1019.5,False,39.8,245,1.2,Practice,115.53044444444443,19.2,58.5,1019.0,False,31.5,156,0.3,19.4,62.3,1018.1,False,26.9,242,1.2,Practice,116.65533333333333,24.1,41.1,1015.9,False,29.0,352,1.1,23.5,43.2,1015.0,False,28.3,165,1.9,Qualifying,11.0,104.359,103.585,,2.086999999999989,22.0,47.4,1015.3,False,26.6,198,1.5,23.0,45.8,1015.0,False,26.5,8,1.7,Race,8.0,111.97097560975611,17.2,46.1,1021.7,False,27.1,86,2.1,16.7,43.4,1022.3,False,23.7,7,1.6,2018
K MAGNUSSEN,20,Haas F1 Team,Practice,Baku,144,Azerbaijan Grand Prix,114.67353846153847,22.4,42.2,1020.2,False,42.1,175,0.3,22.5,41.2,1019.5,False,39.8,245,1.2,Practice,113.65000000000002,19.2,58.5,1019.0,False,31.5,156,0.3,19.4,62.3,1018.1,False,26.9,242,1.2,Practice,110.39385714285713,24.1,41.1,1015.9,False,29.0,352,1.1,23.5,43.2,1015.0,False,28.3,165,1.9,Qualifying,15.0,103.674,104.759,,3.2609999999999957,22.0,47.4,1015.3,False,26.6,198,1.5,23.0,45.8,1015.0,False,26.5,8,1.7,Race,13.0,115.56711627906978,17.2,46.1,1021.7,False,27.1,86,2.1,16.7,43.4,1022.3,False,23.7,7,1.6,2018
N HULKENBERG,27,Renault,Practice,Baku,144,Azerbaijan Grand Prix,113.948,22.4,42.2,1020.2,False,42.1,175,0.3,22.5,41.2,1019.5,False,39.8,245,1.2,Practice,111.76230000000001,19.2,58.5,1019.0,False,31.5,156,0.3,19.4,62.3,1018.1,False,26.9,242,1.2,Practice,114.2408888888889,24.1,41.1,1015.9,False,29.0,352,1.1,23.5,43.2,1015.0,False,28.3,165,1.9,Qualifying,9.0,103.746,103.232,103.066,1.5679999999999978,22.0,47.4,1015.3,False,26.6,198,1.5,23.0,45.8,1015.0,False,26.5,8,1.7,Race,18.0,119.44633333333333,17.2,46.1,1021.7,False,27.1,86,2.1,16.7,43.4,1022.3,False,23.7,7,1.6,2018
B HARTLEY,28,Toro Rosso,Practice,Baku,144,Azerbaijan Grand Prix,115.37481481481483,22.4,42.2,1020.2,False,42.1,175,0.3,22.5,41.2,1019.5,False,39.8,245,1.2,Practice,112.95479999999999,19.2,58.5,1019.0,False,31.5,156,0.3,19.4,62.3,1018.1,False,26.9,242,1.2,Practice,120.37100000000001,24.1,41.1,1015.9,False,29.0,352,1.1,23.5,43.2,1015.0,False,28.3,165,1.9,Qualifying,19.0,117.354,,,15.855999999999995,22.0,47.4,1015.3,False,26.6,198,1.5,23.0,45.8,1015.0,False,26.5,8,1.7,Race,10.0,114.05440476190476,17.2,46.1,1021.7,False,27.1,86,2.1,16.7,43.4,1022.3,False,23.7,7,1.6,2018
E OCON,31,Force India,Practice,Baku,144,Azerbaijan Grand Prix,118.23250000000002,22.4,42.2,1020.2,False,42.1,175,0.3,22.5,41.2,1019.5,False,39.8,245,1.2,Practice,112.01055555555557,19.2,58.5,1019.0,False,31.5,156,0.3,19.4,62.3,1018.1,False,26.9,242,1.2,Practice,116.45271428571428,24.1,41.1,1015.9,False,29.0,352,1.1,23.5,43.2,1015.0,False,28.3,165,1.9,Qualifying,7.0,103.021,102.967,102.523,1.0249999999999915,22.0,47.4,1015.3,False,26.6,198,1.5,23.0,45.8,1015.0,False,26.5,8,1.7,Race,19.0,,17.2,46.1,1021.7,False,27.1,86,2.1,16.7,43.4,1022.3,False,23.7,7,1.6,2018
M VERSTAPPEN,33,Red Bull Racing,Practice,Baku,144,Azerbaijan Grand Prix,109.43825,22.4,42.2,1020.2,False,42.1,175,0.3,22.5,41.2,1019.5,False,39.8,245,1.2,Practice,111.90021739130434,19.2,58.5,1019.0,False,31.5,156,0.3,19.4,62.3,1018.1,False,26.9,242,1.2,Practice,110.60057142857143,24.1,41.1,1015.9,False,29.0,352,1.1,23.5,43.2,1015.0,False,28.3,165,1.9,Qualifying,5.0,102.642,102.901,101.994,0.4959999999999951,22.0,47.4,1015.3,False,26.6,198,1.5,23.0,45.8,1015.0,False,26.5,8,1.7,Race,16.0,109.74674285714286,17.2,46.1,1021.7,False,27.1,86,2.1,16.7,43.4,1022.3,False,23.7,7,1.6,2018
S SIROTKIN,35,Williams,Practice,Baku,144,Azerbaijan Grand Prix,115.6454,22.4,42.2,1020.2,False,42.1,175,0.3,22.5,41.2,1019.5,False,39.8,245,1.2,Practice,117.79396666666666,19.2,58.5,1019.0,False,31.5,156,0.3,19.4,62.3,1018.1,False,26.9,242,1.2,Practice,115.80166666666668,24.1,41.1,1015.9,False,29.0,352,1.1,23.5,43.2,1015.0,False,28.3,165,1.9,Qualifying,12.0,104.261,103.886,,2.387999999999991,22.0,47.4,1015.3,False,26.6,198,1.5,23.0,45.8,1015.0,False,26.5,8,1.7,Race,20.0,,17.2,46.1,1021.7,False,27.1,86,2.1,16.7,43.4,1022.3,False,23.7,7,1.6,2018
L HAMILTON,44,Mercedes,Practice,Baku,144,Azerbaijan Grand Prix,116.5605,22.4,42.2,1020.2,False,42.1,175,0.3,22.5,41.2,1019.5,False,39.8,245,1.2,Practice,114.96892592592593,19.2,58.5,1019.0,False,31.5,156,0.3,19.4,62.3,1018.1,False,26.9,242,1.2,Practice,115.30454545454545,24.1,41.1,1015.9,False,29.0,352,1.1,23.5,43.2,1015.0,False,28.3,165,1.9,Qualifying,2.0,102.693,102.676,101.677,0.17900000000000205,22.0,47.4,1015.3,False,26.6,198,1.5,23.0,45.8,1015.0,False,26.5,8,1.7,Race,1.0,109.16034999999997,17.2,46.1,1021.7,False,27.1,86,2.1,16.7,43.4,1022.3,False,23.7,7,1.6,2018
C SAINZ,55,Renault,Practice,Baku,144,Azerbaijan Grand Prix,123.92600000000002,22.4,42.2,1020.2,False,42.1,175,0.3,22.5,41.2,1019.5,False,39.8,245,1.2,Practice,113.83015151515151,19.2,58.5,1019.0,False,31.5,156,0.3,19.4,62.3,1018.1,False,26.9,242,1.2,Practice,116.15158333333335,24.1,41.1,1015.9,False,29.0,352,1.1,23.5,43.2,1015.0,False,28.3,165,1.9,Qualifying,10.0,103.426,103.464,103.351,1.8529999999999944,22.0,47.4,1015.3,False,26.6,198,1.5,23.0,45.8,1015.0,False,26.5,8,1.7,Race,5.0,111.4448292682927,17.2,46.1,1021.7,False,27.1,86,2.1,16.7,43.4,1022.3,False,23.7,7,1.6,2018
V BOTTAS,77,Mercedes,Practice,Baku,144,Azerbaijan Grand Prix,113.47261904761906,22.4,42.2,1020.2,False,42.1,175,0.3,22.5,41.2,1019.5,False,39.8,245,1.2,Practice,115.47818181818182,19.2,58.5,1019.0,False,31.5,156,0.3,19.4,62.3,1018.1,False,26.9,242,1.2,Practice,111.97433333333333,24.1,41.1,1015.9,False,29.0,352,1.1,23.5,43.2,1015.0,False,28.3,165,1.9,Qualifying,3.0,103.355,102.679,101.837,0.33899999999999864,22.0,47.4,1015.3,False,26.6,198,1.5,23.0,45.8,1015.0,False,26.5,8,1.7,Race,14.0,108.56137837837836,17.2,46.1,1021.7,False,27.1,86,2.1,16.7,43.4,1022.3,False,23.7,7,1.6,2018
